# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	88
#@/user_id	43871507-6890-4843-8e9f-91bba8ad7d3a
a1 	阿	c=1 d=1 t=41
wei2 she2 me5 	爲什麼	c=1 d=1 t=22
wen4 le5 	問了	c=0 d=0.1 t=23
wo3 	我	c=0 d=0.271984 t=67
wo3 hai2 	我還	c=0 d=0.1 t=34
wo3 hai2 yi3 wei2 you3 she2 me5 	我還以爲有什麼	c=1 d=1 t=35
wo3 han4 	我和	c=0 d=0.1 t=78
wo3 han4 zhou1 dong3 shuo1 yi1 xia4 	我和周董說一下	c=1 d=1 t=79
wo3 men5 	我們	c=0 d=0.1 t=45
wo3 wang4 ji4 	我忘記	c=1 d=1 t=9
wo3 zuo2 tian1 	我昨天	c=1 d=1 t=63
wu1 wu1 	嗚嗚	c=1 d=1 t=60
xian4 jiu4 	現就	c=0 d=0.1 t=41
xian4 zai4 	現在	c=0 d=0.1 t=82
xian4 zai4 xiang3 dao4 de5 zhi3 you3 	現在想到的只有	c=1 d=1 t=83
xiang3 dao4 	想到	c=0 d=0.1 t=82
xiang3 shou4 	享受	c=0 d=0.1 t=26
xiao3 de5 	小的	c=1 d=1 t=48
xiong2 yi1 	熊一	c=1 d=1.09005 t=27
xiong2 yi1 you3 guo4 qu4 tiao4 ma5 	熊一有過去跳嗎	c=1 d=1 t=28
xu1 yao4 	需要	c=0 d=0.176721 t=75
xu1 yao4 yong4 dao4 zhe4 xie1 zi1 xun4 	需要用到這些資訊	c=1 d=1 t=76
yao4 	要	c=1 d=1 t=12
ye3 	也	c=0 d=0.1 t=45
ye3 zhi3 you3 wo3 men5 	也只有我們	c=1 d=1 t=46
yi1 kai1 shi3 	一開始	c=0 d=0.1 t=22
yi1 kai1 shi3 xu1 yao4 dai4 	一開始需要帶	c=1 d=1 t=23
yi1 tai2 	一臺	c=0 d=0.1 t=77
yi1 xia4 	一下	c=0 d=0.1 t=78
yi3 hou4 	以後	c=0 d=0.1 t=42
yi3 wei2 	以爲	c=0 d=0.1 t=34
ying1 	英	c=1 d=1 t=57
yong4 bu2 dao4 	用不到	c=1 d=1 t=71
